epoch,train_loss,train_acc,val_loss,val_acc,lr
35,0.00124962089552656,100.0,0.00010870018648722815,100.0,0.0005
36,0.0012980240923532046,100.0,9.651700399382404e-05,100.0,0.0005
37,0.001617682352239718,100.0,8.643065658847619e-05,100.0,0.0005
38,0.0018615492584200706,100.0,7.687089987845707e-05,100.0,0.0005
39,0.0011383358245533881,100.0,7.013650149077414e-05,100.0,0.0005
40,0.0009564310976181627,100.0,6.469428218518033e-05,100.0,0.0005
41,0.0008590855863913598,100.0,6.038537904960177e-05,100.0,0.0005
42,0.0010983717834783925,100.0,5.5115910149339545e-05,100.0,0.0005
43,0.0006985362737490785,100.0,5.154551619188934e-05,100.0,0.0005
44,0.0007766972487589635,100.0,4.873069247450167e-05,100.0,0.0005
45,0.001030973998432168,100.0,4.538101415231789e-05,100.0,0.0005
46,0.0007437451903551475,100.0,4.228424715437488e-05,100.0,0.0005
47,0.0009637878391503139,100.0,3.9405695075864e-05,100.0,0.0005
48,0.0009776383317381886,100.0,3.6713200705692604e-05,100.0,0.0005
49,0.0009967536840254183,100.0,3.4028885609047766e-05,100.0,0.0005
50,0.0006730355473786705,100.0,3.19380706829689e-05,100.0,0.0005
51,0.0008320834992143015,100.0,3.052463641983984e-05,100.0,0.0005
52,0.0008081650456649625,100.0,2.8625552042968885e-05,100.0,0.0005
53,0.0006558643514079268,100.0,2.6969282550102214e-05,100.0,0.0005
54,0.0006490697264048333,100.0,2.5569087459684828e-05,100.0,0.0005
55,0.0007446205470887331,100.0,2.415375156343789e-05,100.0,0.0005
56,0.0007583604542941886,100.0,2.2628671464940813e-05,100.0,0.0005
57,0.0004569205416940879,100.0,2.163906825810151e-05,100.0,0.0005
58,0.0005244220980646854,100.0,2.0599005447895262e-05,100.0,0.0005
59,0.0006800655637087819,100.0,1.9622017327165134e-05,100.0,0.0005
60,0.00046787722629670247,100.0,1.8698637807685094e-05,100.0,0.0005
61,0.0006046038598591428,100.0,1.7828237740480015e-05,100.0,0.0005
62,0.0004674554801157458,100.0,1.699252802440983e-05,100.0,0.0005
63,0.0005592646871460074,100.0,1.6244486109898722e-05,100.0,0.0005
64,0.000523081189760613,100.0,1.5317318116705225e-05,100.0,0.0005
65,0.00035731308822163177,100.0,1.4547832241982823e-05,100.0,0.0005
66,0.00045412686773084313,100.0,1.4013606449311955e-05,100.0,0.0005
67,0.00043152269850275953,100.0,1.3317285020237914e-05,100.0,0.0005
68,0.00044341188524305914,100.0,1.2730076421229613e-05,100.0,0.0005
69,0.0006113299366631577,100.0,1.197761730749835e-05,100.0,0.0005
70,0.00034122374090904585,100.0,1.129201387407698e-05,100.0,0.0005
71,0.0006349154753896118,100.0,1.0845456508543556e-05,100.0,0.0005
72,0.0005080690620627567,100.0,1.0379347441865504e-05,100.0,0.0005
73,0.00042544812166771923,100.0,9.932790336187709e-06,100.0,0.0005
74,0.00020817368545531466,100.0,9.558137761328551e-06,100.0,0.0005
75,0.0002703752085965659,100.0,9.285662070387314e-06,100.0,0.0005
76,0.0004556606883539033,100.0,9.045984197222251e-06,100.0,0.0005
77,0.00026458272139717086,100.0,8.694666956207055e-06,100.0,0.0005
78,0.00023673016894999426,100.0,8.420299833887454e-06,100.0,0.0005
79,0.00036398878540419246,100.0,8.149085862328921e-06,100.0,0.0005
80,0.0003347201091523785,100.0,7.916976082250821e-06,100.0,0.0005
81,0.00030547230787044116,100.0,7.653960883015305e-06,100.0,0.0005
82,0.0005039515869906848,100.0,7.253446677134855e-06,100.0,0.0005
83,0.00033256921536012503,100.0,7.06233496929546e-06,100.0,0.0005
84,0.0004030365774614151,100.0,6.745706455317473e-06,100.0,0.0005
85,0.00021574788533104688,100.0,6.381773829840342e-06,100.0,0.0005
86,0.00022373808031244934,100.0,6.155341363515983e-06,100.0,0.0005
87,0.0002838584665666104,100.0,5.944676693750942e-06,100.0,0.0005
88,0.0003877199753060886,100.0,5.687337812155925e-06,100.0,0.0005
89,0.0002407111902510042,100.0,5.44009019293337e-06,100.0,0.0005
90,0.00029778360303247436,100.0,5.225010227150051e-06,100.0,0.0005
91,0.0002488177797657833,100.0,5.0256989024568435e-06,100.0,0.0005
92,0.00041856370243833075,100.0,4.898290717873443e-06,100.0,0.0005
93,0.00021203339258668198,100.0,4.730515681653285e-06,100.0,0.0005
94,0.0001898640514638638,100.0,4.567155797087166e-06,100.0,0.0005
95,0.0002508899640469324,100.0,4.4290247349337696e-06,100.0,0.0005
96,0.00017154715741961315,100.0,4.316753629176501e-06,100.0,0.0005
97,0.00015024378727604117,100.0,4.1351019823561835e-06,100.0,0.0005
98,0.0002844919342481132,100.0,4.082751070320478e-06,100.0,0.0005
99,0.0002494848673272817,100.0,3.9521893307561405e-06,100.0,0.0005
100,0.00027934645733937555,100.0,3.787567842298707e-06,100.0,0.0005
